Team Name,Year,Wins,Losses,OT Losses,Win %,GF,GA,Diff,Team_Code,Wins_Scaled,GF_Scaled,GA_Scaled
Boston Bruins,1990,44,24,,0.55,299,264,35,0,0.8516541918608848,0.31662306899028625,-0.5304740108473514
Buffalo Sabres,1990,31,30,,0.388,292,278,14,1,-0.558129911813755,0.1373057969084091,-0.15938959286619261
Calgary Flames,1990,46,26,,0.575,344,263,81,2,1.0685440539646756,1.4693769609452105,-0.5569800407031483
Chicago Blackhawks,1990,49,23,,0.613,284,211,73,3,1.3938788471203616,-0.06762822832802187,-1.935293593204595
Detroit Red Wings,1990,34,38,,0.425,273,298,-25,5,-0.2327951186580689,-0.3494125130281145,0.3707310042497484
Edmonton Oilers,1990,37,37,,0.463,272,272,0,6,0.0925396744976172,-0.37502926618266835,-0.3184257720009749
Hartford Whalers,1990,31,38,,0.388,238,276,-38,7,-0.558129911813755,-1.2459988734375,-0.2124016525777867
Los Angeles Kings,1990,46,24,,0.575,340,254,86,8,1.0685440539646756,1.366909948326995,-0.7955343094053218
Minnesota North Stars,1990,27,39,,0.338,256,266,-10,10,-0.9919096360213364,-0.7848973166555303,-0.47746195113575723
Montreal Canadiens,1990,39,30,,0.487,273,249,24,11,0.30942953660140793,-0.3494125130281145,-0.9280644586843071
New Jersey Devils,1990,32,33,,0.4,272,264,8,12,-0.44968498076185964,-0.37502926618266835,-0.5304740108473514
New York Islanders,1990,25,45,,0.312,223,290,-67,13,-1.208799498125127,-1.6302501707558081,0.158682765403372
New York Rangers,1990,36,31,,0.45,297,265,32,14,-0.01590525655427816,0.26538956268117847,-0.5039679809915543
Philadelphia Flyers,1990,33,37,,0.412,252,267,-15,16,-0.34124004970996424,-0.8873643292737459,-0.45095592127996015
Pittsburgh Penguins,1990,41,33,,0.512,342,305,37,17,0.5263193987051987,1.4181434546361027,0.5562732132403277
Quebec Nordiques,1990,16,50,,0.2,236,354,-118,18,-2.1848038775921856,-1.2972323797466079,1.8550686761743833
St. Louis Blues,1990,47,22,,0.588,310,250,60,20,1.176988985016571,0.5984073536903788,-0.90155842882851
Toronto Maple Leafs,1990,23,46,,0.287,241,318,-77,22,-1.425689360228918,-1.1691486139738385,0.9008516013656894
Vancouver Canucks,1990,28,43,,0.35,243,315,-72,23,-0.8834647049694411,-1.1179151076647307,0.8213335117982983
Washington Capitals,1990,37,36,,0.463,258,258,0,24,0.0925396744976172,-0.7336638103464226,-0.6895101899821336
Winnipeg Jets,1990,26,43,,0.325,260,288,-28,25,-1.1003545670732318,-0.6824303040373149,0.10567070569177789
Boston Bruins,1991,36,32,,0.45,270,275,-5,0,-0.01590525655427816,-0.4262627724917761,-0.23890768243358376
Buffalo Sabres,1991,31,37,,0.388,289,299,-10,1,-0.558129911813755,0.06045553744474749,0.39723703410554545
Calgary Flames,1991,31,37,,0.388,296,305,-9,2,-0.558129911813755,0.2397728095266246,0.5562732132403277
Chicago Blackhawks,1991,36,29,,0.45,257,236,21,3,-0.01590525655427816,-0.7592805635009765,-1.2726428468096687
Detroit Red Wings,1991,43,25,,0.537,320,256,64,5,0.7432092608089894,0.8545748852359175,-0.7425222496937277
Edmonton Oilers,1991,36,34,,0.45,295,297,-2,6,-0.01590525655427816,0.21415605637207072,0.34422497439395133
Hartford Whalers,1991,26,41,,0.325,247,283,-36,7,-1.1003545670732318,-1.0154480950465152,-0.026859443587207356
Los Angeles Kings,1991,35,31,,0.438,287,296,-9,8,-0.12435018760617353,0.009222031135639745,0.3177189445381543
Minnesota North Stars,1991,32,42,,0.4,246,278,-32,10,-0.44968498076185964,-1.0410648482010691,-0.15938959286619261
Montreal Canadiens,1991,41,28,,0.512,267,207,60,11,0.5263193987051987,-0.5031130319554378,-2.0413177126277833
New Jersey Devils,1991,38,31,,0.475,289,259,30,12,0.20098460554951258,0.06045553744474749,-0.6630041601263366
New York Islanders,1991,34,35,,0.425,291,299,-8,13,-0.2327951186580689,0.11168904375385523,0.39723703410554545
New York Rangers,1991,50,25,,0.625,321,246,75,14,1.502323778172257,0.8801916383904714,-1.0075825482516982
Philadelphia Flyers,1991,32,37,,0.4,252,273,-21,16,-0.44968498076185964,-0.8873643292737459,-0.29191974214517785
Pittsburgh Penguins,1991,39,32,,0.487,343,308,35,17,0.30942953660140793,1.4437602077906566,0.6357913028077189
Quebec Nordiques,1991,20,48,,0.25,255,318,-63,18,-1.751024153384604,-0.8105140698100842,0.9008516013656894
San Jose Sharks,1991,17,58,,0.212,219,359,-140,19,-2.07635894654029,-1.7327171833740236,1.9875988254533685
St. Louis Blues,1991,36,33,,0.45,279,266,13,20,-0.01590525655427816,-0.19571199410079124,-0.47746195113575723
Toronto Maple Leafs,1991,30,43,,0.375,234,294,-60,22,-0.6665748428656504,-1.3484658860557155,0.2647068848265602
Vancouver Canucks,1991,42,26,,0.525,285,250,35,23,0.6347643297570941,-0.042011475173468,-0.90155842882851
Washington Capitals,1991,45,27,,0.562,330,275,55,24,0.9600991229127801,1.1107424167814564,-0.23890768243358376
Winnipeg Jets,1991,33,32,,0.412,251,244,7,25,-0.34124004970996424,-0.9129810824282997,-1.0605946079632924
Boston Bruins,1992,51,26,,0.607,332,268,64,0,1.6107687092241523,1.161975923090564,-0.4244498914241631
Buffalo Sabres,1992,38,36,,0.452,335,297,38,1,0.20098460554951258,1.2388261825542257,0.34422497439395133
Calgary Flames,1992,43,30,,0.512,322,282,40,2,0.7432092608089894,0.9058083915450253,-0.05336547344300441
Chicago Blackhawks,1992,47,25,,0.56,279,230,49,3,1.176988985016571,-0.19571199410079124,-1.431679025944451
Detroit Red Wings,1992,47,28,,0.56,369,280,89,5,1.176988985016571,2.1097957898090574,-0.10637753315459851
Edmonton Oilers,1992,26,50,,0.31,242,337,-95,6,-1.1003545670732318,-1.1435318608192846,1.4044661686258333
